,threads_maximo,time
0,1,0.16911805000000002
1,2,0.14782775
2,3,0.17124705
3,4,0.21421215
4,5,0.20140165
5,6,0.20429495000000006
6,7,0.24264695
7,8,0.28230679999999997
8,9,0.28983010000000003
9,10,0.3174027
10,11,0.36317535
11,12,0.39196770000000003
12,13,0.48207510000000003
13,14,0.4275282
14,15,0.41297040000000007
15,16,0.41675505
16,17,0.4401576
17,18,0.4598855
18,19,0.4715801999999999
19,20,0.4939121
20,21,0.5569495999999999
21,22,0.5225753
22,23,0.6805471000000001
23,24,0.66372
24,25,0.7053316
25,26,0.6661595500000002
26,27,0.6455388499999999
27,28,0.6926076499999999
28,29,0.7226074999999998
29,30,0.6941758499999999
