,threads_maximo,time
0,1,0.3157467
1,2,0.24217655
2,3,0.24645175
3,4,0.2489889
4,5,0.2560727500000001
5,6,0.2519077
6,7,0.26303409999999994
7,8,0.27927645
8,9,0.27855205000000005
9,10,0.35771070000000005
10,11,0.33612825
11,12,0.35557739999999993
12,13,0.37453345
13,14,0.42766525
14,15,0.42645249999999996
15,16,0.42398535
16,17,0.44974115
17,18,0.460372
18,19,0.50187425
19,20,0.5141401
20,21,0.5484019
21,22,0.60559925
22,23,0.5796069499999998
23,24,0.6245178000000002
24,25,0.6231260000000001
25,26,0.64972345
26,27,0.6649334999999998
27,28,0.7090068
28,29,0.6890796500000002
29,30,0.7226113000000001
