threads_maximo,time
1,0.06973880000000003
2,0.16231145
3,0.1478224
4,0.18388095
5,0.22125185
6,0.21652129999999997
7,0.20120235000000006
8,0.23590325
9,0.29307135
10,0.27819405
11,0.3333039499999999
12,0.33740594999999995
13,0.3841112
14,0.38947505
15,0.4179007000000001
16,0.44748025
17,0.44348820000000005
18,0.46519695
19,0.5007688
20,0.5503123000000001
21,0.543852
22,0.61851785
23,0.7541602999999999
24,0.6356303000000001
25,0.6502109500000002
26,0.6996169
27,0.7366016999999999
28,0.7090146999999999
29,0.8112258500000001
30,0.7745729499999998
