threads_maximo,time
1,0.30233944999999995
2,0.24523559999999994
3,0.2364507
4,0.2450147368421053
5,0.2759547
6,0.29091115
7,0.33428965
8,0.30461555
9,0.27742785000000003
10,0.31771285
11,0.33209520000000003
12,0.39385165
13,0.39687965
14,0.39135995
15,0.4028349
16,0.4435256500000001
17,0.48232745
18,0.4969201500000001
19,0.4970632
20,0.5284444500000001
21,0.5527090999999998
22,0.5450607
23,0.5916115789473684
24,0.6431085999999999
25,0.69976325
26,0.6660222
27,0.71264065
28,0.7377779500000001
29,0.7558393499999998
30,0.7502959500000002
