threads_maximo,time
1,1.3597870000000003
2,0.9190424999999999
3,0.7710124000000002
4,0.7900212000000001
5,0.7974359000000001
6,0.80103515
7,0.8102639499999998
8,0.8434725500000001
9,0.8613966000000001
10,0.8434657999999997
11,0.8594404499999999
12,0.8689597499999999
13,0.9009612
14,0.8879036499999998
15,0.8871933500000002
16,0.90602005
17,0.8946823999999998
18,0.983494
19,0.91797315
20,0.9483301
21,0.969475
22,0.9722336999999998
23,0.9824054500000002
24,1.0124412
25,1.0107546
26,1.0326736999999997
27,1.0119705500000005
28,1.03207915
29,1.1127017999999995
30,1.02946035
