threads_files,time
1,0.5173584000000001
2,0.6418542500000001
3,0.6389723999999999
4,0.6455978
5,0.7098858
6,0.7174234499999999
7,0.754305
8,0.7529547999999999
9,0.8021248499999999
10,1.00452055
11,0.7985826499999998
12,0.8477716500000001
13,0.7932737999999999
14,0.78001645
15,0.8516522
16,0.8525228
17,0.9201396500000001
18,0.9261261000000003
19,1.0584307999999998
20,1.0474305999999998
21,0.990934
22,0.9918306500000001
23,0.9931924499999999
24,1.0646607
25,1.0714757
26,1.111888
27,1.0919051000000002
28,1.0435762000000002
29,1.0800932499999998
30,1.2290009000000002
31,1.1665405
32,1.220123
33,1.1545300000000003
34,1.3154755000000002
35,1.2257244999999997
36,1.3734970000000002
37,1.3401239999999999
38,1.392897
39,1.3195584999999999
40,1.3999970000000002
41,1.3671015
42,1.411267
43,1.4149955
44,1.432141
45,1.4586545000000002
46,1.4871919999999998
47,1.5212299999999996
48,1.4455145
49,1.5263624999999998
50,1.560013
